Carimbo de data/hora,Com que frequência costuma jogar games?,Idade (anos):,Gênero:,Estado de residência?,Situação atual,Grau de escolaridade,Qual plataforma prefere usar para jogar?,"Você conhece os componentes do seu computador (Processador, Placa de Vídeo e Memória RAM) ?",Quantos Gigabytes de memória RAM?,Qual a marca do seu processador?,Qual o modelo do processador?,Qual a marca da sua placa de Vídeo?,Qual o modelo da sua placa de vídeo?,Quantos Gigabytes possui sua placa de video?,A maioria das suas peças foram compradas em:,Qual console você possui?,O seu console mais recente foi comprado em:,Qual seu estilo de jogo favorito?,Qual seu jogo preferido?,"Em média, quanto costuma gastar mensalmente com jogos?"
17/06/2019 21:20:52,Frequentemente,21,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 8400,Nvidia,GTX 1050ti,4 GB,Loja física,,,"MOBA, RPG/MMORPG, Sobrevivência",League of Legends,R$1 a R$50
17/06/2019 21:26:28,Frequentemente,20,Mulher,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,Intel core i3 CPU,AMD,"Sei nao, uma velha. O Lyncoln quem sabe ",2 GB,Loja física,,,"ARCADE, Aventura, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência",League of Legends pq e gratis <3 ,Nada
17/06/2019 21:26:46,Regularmente,18,Homem,Paraná – PR,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I5 8700k,Nvidia,GTX 1070,8 GB,Loja física,,,FPS/TPS,Counter-strike Global offensive,Nada
17/06/2019 21:27:12,Frequentemente,21,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I3,Nvidia,750TI,2 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Gran turismo 2,R$1 a R$50
17/06/2019 21:28:35,Raramente,22,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"Corrida, Esporte, Luta, RPG/MMORPG",Call of Duty,Nada
17/06/2019 21:28:45,Frequentemente,24,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,i5 8400,Nvidia,GTX 750,1 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG, Simulação",CS,Nada
17/06/2019 21:29:35,Frequentemente,22,Homem,Rio Grande do Norte – RN,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 4400,Nvidia,GTX 1060,6 GB,Loja física,,,"ARCADE, Aventura, Corrida, MOBA, Mundo Aberto, RPG/MMORPG, Simulação",Fortnite,R$51 a R$100
17/06/2019 21:29:36,Frequentemente,21,Homem,Rio de Janeiro – RJ,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,Intel,i5 8400,Nvidia,GTX 960,2 GB,Loja virtual,,,"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência",Rust,R$1 a R$50
17/06/2019 21:30:25,Frequentemente,19,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,I3 2130,AMD,Rx 570,4 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto",Atualmente rainbow six ,Nada
17/06/2019 21:30:28,Frequentemente,19,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,I3 2130,AMD,Rx 570,4 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto",Atualmente rainbow six ,Nada
17/06/2019 21:32:03,Regularmente,19,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"Luta, MOBA",Arena of Valor,Nada
17/06/2019 21:34:22,Frequentemente,21,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"ARCADE, Aventura, Luta, RPG/MMORPG, Sobrevivência","Archero, realm defense ",Nada
17/06/2019 21:34:23,Frequentemente,22,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i5 3330,Nvidia,GT 740,1 GB,Loja física,,,RPG/MMORPG,Albion,R$1 a R$50
17/06/2019 21:37:54,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,XBOX ONE,Loja física,"ARCADE, Aventura, FPS/TPS, MOBA, RPG/MMORPG, Simulação, Terror",GEARS OF WAR,Nada
17/06/2019 21:38:13,Frequentemente,22,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,fx8320e,Nvidia,Gtx 960,2 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Dante's Inferno ,R$1 a R$50
17/06/2019 21:38:40,Regularmente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,A8 7600,Nvidia,GTX 750ti,2 GB,Loja física,,,"ARCADE, Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",TES V SKYRIM,R$1 a R$50
17/06/2019 21:39:56,Frequentemente,21,Homem,Ceará – CE,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,Rezen 5 1600,AMD,Rx 570 ,4 GB,Loja física,,,"FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG",MMORPG,Nada
17/06/2019 21:40:41,Frequentemente,16,Homem,São Paulo – SP,Só Estuda,Ensino Fundamental Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I7-4510U,Nvidia,GeForce 840M,2 GB,Loja física,,,RPG/MMORPG,Guild Wars 2,R$1 a R$50
17/06/2019 21:40:50,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,4440,Nvidia,GTX 750 Ti,2 GB,Loja física,,,"Aventura, RPG/MMORPG",Blade and Soul,R$1 a R$50
17/06/2019 21:41:18,Frequentemente,21,Homem,Mato Grosso do Sul – MS,Estuda e Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,"PSP, Playstation 3, Playstation 4, XBOX 360, XBOX ONE",Loja física,Mundo Aberto,The legende of Zelda: ocarina of time ,mais de R$200
17/06/2019 21:41:26,Frequentemente,19,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i3 7400,Nvidia,Gtx 660 ti,2 GB,Loja virtual,,,"Aventura, Mundo Aberto, RPG/MMORPG, Simulação",WoW,Nada
17/06/2019 21:43:23,Frequentemente,21,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,Playstation 3,Loja física,"Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Far Cry 3,R$51 a R$100
17/06/2019 21:44:10,Frequentemente,17,Homem,Bahia – BA,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,4 GB,Intel,Intel Celeron 400,AMD,Placa integrada intel,2 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",LOL,Nada
17/06/2019 21:44:34,Frequentemente,28,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Notebook,Sim,6 GB,Intel,I5 3371U,Nvidia,NVIDIA 740m,2 GB,Loja virtual,,,"ARCADE, Aventura, Corrida, Luta, RPG/MMORPG",Final Fantasy IX,R$1 a R$50
17/06/2019 21:44:54,Regularmente,21,Homem,Goiás – GO,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,AMD,AMD FX 8320,Nvidia,GTX 970,4 GB,Loja física,,,"Mundo Aberto, RPG/MMORPG, Simulação, RTS","Total War: Warhammer, Stellaris, MOUNT & BLADE",R$51 a R$100
17/06/2019 21:47:50,Regularmente,22,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,"XBOX 360, XBOX ONE, Computador",Loja física,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror",The last of us,Nada
17/06/2019 21:49:41,Regularmente,17,Outro,Minas Gerais – MG,Só Estuda,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,"ARCADE, Aventura, Simulação, Sobrevivência, Terror, Escape",Cube escape,R$1 a R$50
17/06/2019 21:50:07,Regularmente,20,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i5 8400,Nvidia,GTX 950,4 GB,Loja virtual,,,"Aventura, Luta, RPG/MMORPG",Skyrim,R$1 a R$50
17/06/2019 21:53:29,Frequentemente,16,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,AMD FX 6300,Nvidia,GTX 1080,2 GB,Loja física,,,"ARCADE, Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Bully,Nada
17/06/2019 21:54:14,Frequentemente,17,Homem,Distrito Federal – DF,Estuda e Trabalha,Ensino Fundamental Completo,Desktop (PC de mesa),Não,,,,,,,,,,MOBA,Não tenho,R$101 a R$150
17/06/2019 21:55:04,Regularmente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,2 GB,Intel,Intel celeron g530,Nvidia,Placa integrada ,1 GB,Loja física,,,"RPG/MMORPG, Simulação, Sobrevivência",Dungeons and Dragons ,R$1 a R$50
17/06/2019 21:57:56,Regularmente,24,Homem,Rio de Janeiro – RJ,Só Trabalha,Ensino Superior Completo,Notebook,Sim,8 GB,Intel,I5  8250U,Nvidia,MX 150,4 GB,Loja virtual,,,Simulação,Cities Skylines,R$1 a R$50
17/06/2019 21:58:56,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Trabalha,Ensino Médio Completo,Notebook,Sim,2 GB,Intel,Intel celeron,AMD,Não tenho placa de video,1 GB,Loja física,,,Rogalike,The binding of isaac,R$1 a R$50
17/06/2019 22:03:02,Regularmente,18,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,Playstation 4,Loja física,"Mundo Aberto, Terror",Metal gear solid ,Nada
17/06/2019 22:03:37,Frequentemente,22,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,4 GB,Intel,I5 8400,Nvidia,Não  tem placa de vídeo ,1 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror, Cartas , etc",Cross Fire e DinoStorm,R$1 a R$50
17/06/2019 22:05:39,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Não,,,,,,,,,,"Corrida, Esporte, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência",Nenhum,R$1 a R$50
17/06/2019 22:06:36,Frequentemente,22,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,Nenhum,Loja física,"ARCADE, Aventura, Esporte, Luta, Mundo Aberto, RPG/MMORPG",Crash CTR,Nada
17/06/2019 22:06:53,Frequentemente,18,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,intel core i7 7700k,AMD,radeon rx 580 ,8 GB,Loja virtual,,,"FPS/TPS, MOBA, Mundo Aberto, Simulação, Sobrevivência",cs go,Nada
17/06/2019 22:07:24,Frequentemente,17,Homem,Bahia – BA,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Não,,,,,,,,,,RPG/MMORPG,"Atualmente, o Aura Kingdom",R$101 a R$150
17/06/2019 22:07:45,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Console (video game),,,,,,,,,"Playstation 3, Playstation 4, Nintendo Wii",Loja física,"ARCADE, Aventura, Luta, MOBA, RPG/MMORPG",Bloodborne,Nada
17/06/2019 22:07:48,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Console (video game),,,,,,,,,Playstation 4,Loja física,RPG/MMORPG,Super Metroid,R$1 a R$50
17/06/2019 22:07:49,Regularmente,20,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,Cartas,Hearthstone,Nada
17/06/2019 22:08:28,Regularmente,20,Homem,Ceará – CE,Só Estuda,Ensino Fundamental Incompleto,Outros (Celular),,,,,,,,,,,Aventura,Coc,R$51 a R$100
17/06/2019 22:09:52,Nunca,,,,,,,,,,,,,,,,,,,
17/06/2019 22:10:45,Frequentemente,29,Homem,São Paulo – SP,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Ryzen 3 ,AMD,GTX 1050,8 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror",CS:GO,Nada
17/06/2019 22:11:00,Regularmente,19,Mulher,São Paulo – SP,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Não,,,,,,,,,,"Aventura, Mundo Aberto, RPG/MMORPG, Terror",God Of War,R$51 a R$100
17/06/2019 22:11:31,Frequentemente,17,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,ARCADE,ANGRY BIRDS,Nada
17/06/2019 22:12:21,Frequentemente,19,Homem,São Paulo – SP,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,AMD,Ryzen 7 2700X,Nvidia,GTX 1080,6 GB,Loja virtual,,,MOBA,League of Legends,R$51 a R$100
17/06/2019 22:12:52,Frequentemente,20,Homem,Goiás – GO,Não Estuda e Não Trabalha,Ensino Médio Incompleto,Desktop (PC de mesa),Sim,2 GB,Intel,¡2,Nvidia,N tem placa,1 GB,Loja física,,,RPG/MMORPG,Grand fantasia GFPT,Nada
17/06/2019 22:14:20,Frequentemente,17,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Fundamental Completo,Desktop (PC de mesa),Não,,,,,,,,,,"Aventura, Corrida, Esporte, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência, Terror",Paladins,Nada
17/06/2019 22:14:36,Frequentemente,17,Outro,Goiás – GO,Só Estuda,Ensino Médio Incompleto,Notebook,Não,,,,,,,,,,RPG/MMORPG,League of Legends,R$51 a R$100
17/06/2019 22:15:30,Regularmente,18,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Outros (Celular),,,,,,,,,,,ARCADE,Nenhum,Nada
17/06/2019 22:15:46,Raramente,20,Mulher,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Console (video game),,,,,,,,,Playstation 3,Loja física,"Aventura, Sobrevivência",God of War,R$1 a R$50
17/06/2019 22:18:58,Frequentemente,17,Homem,Minas Gerais – MG,Só Estuda,Ensino Médio Completo,Notebook,Sim,8 GB,Intel,i7 7700k,Nvidia,Ñ sei a placa de video porem é de 4 gb,4 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG",Grand Fantasia // CS:GO,R$101 a R$150
17/06/2019 22:19:27,Frequentemente,16,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,Sobrevivência,Free fire,R$1 a R$50
17/06/2019 22:22:40,Raramente,28,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"ARCADE, Esporte, FPS/TPS, Luta",GTA,Nada
17/06/2019 22:23:30,Frequentemente,21,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Fx6300,AMD,Rx 540,2 GB,Loja virtual,,,"Corrida, Esporte, FPS/TPS, MOBA, RPG/MMORPG",Overwatch,R$1 a R$50
17/06/2019 22:24:01,Frequentemente,21,Homem,Sergipe – SE,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Ryzen 5,AMD,AMD 265M (Adaptada para desktop),2 GB,Loja virtual,,,"Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência",Warframe,R$1 a R$50
17/06/2019 22:25:28,Frequentemente,17,Mulher,São Paulo – SP,Só Estuda,Ensino Médio Incompleto,Console (video game),,,,,,,,,Playstation 4,Loja física,"ARCADE, Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror",Skyrim,Nada
17/06/2019 22:27:44,Raramente,25,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Amd fx 7200,AMD,Amd rx 540,8 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG",Wow,R$1 a R$50
17/06/2019 22:29:05,Frequentemente,25,Mulher,Rio de Janeiro – RJ,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Não,,,,,,,,,,RPG/MMORPG,Grand Fantasia,Nada
17/06/2019 22:29:17,Frequentemente,17,Homem,Pernambuco – PE,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Não,,,,,,,,,,"Aventura, Mundo Aberto, RPG/MMORPG",grand fantasia,Nada
17/06/2019 22:31:09,Raramente,20,Homem,Amazonas – AM,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i3 ,AMD,Modelo placa integrada gamer pobre (,1 GB,Loja física,,,Jogos da Barbie de navegador ,Dinossauro do Chrome sem internet,Nada
17/06/2019 22:33:36,Regularmente,19,Homem,Pernambuco – PE,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I5 4460,Nvidia,GTX 960,4 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto, RPG/MMORPG",The Witcher 3,R$1 a R$50
17/06/2019 22:34:16,Frequentemente,21,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"Aventura, RPG/MMORPG",Pokemon,Nada
17/06/2019 22:34:43,Raramente,20,Homem,São Paulo – SP,Só Estuda,Ensino Superior Completo,Outros (Celular),,,,,,,,,,,Xadrez ,Xadrez,Nada
17/06/2019 22:36:11,Frequentemente,16,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,6 GB,Intel,Intel pentinum dual core,Nvidia,Gts 250,1 GB,Loja física,,,FPS/TPS,Counter-Strike: Global offensive,Nada
17/06/2019 22:37:06,Frequentemente,20,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Fundamental Completo,Desktop (PC de mesa),Sim,8 GB,AMD,Ryzen 5 ,Nvidia,GTX 750,2 GB,Loja virtual,,,"ARCADE, Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG",Bf4,R$1 a R$50
17/06/2019 22:38:10,Frequentemente,31,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,"Playstation 4, XBOX ONE",Loja física,"ARCADE, Aventura, Corrida, Esporte, Mundo Aberto",The witcher,R$151 a R$200
17/06/2019 22:41:28,Regularmente,17,Homem,Minas Gerais – MG,Só Estuda,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,"Aventura, Corrida, Mundo Aberto, Simulação, Sobrevivência",Não sei,Nada
17/06/2019 22:43:20,Frequentemente,17,Mulher,Minas Gerais – MG,Só Estuda,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,RPG/MMORPG,LOL,Nada
17/06/2019 22:44:10,Frequentemente,19,Homem,Piauí – PI,Estuda e Trabalha,Ensino Médio Incompleto,Outros (Celular),,,,,,,,,,,MOBA,Arena of valor ou pubg,Nada
17/06/2019 22:47:31,Frequentemente,17,Homem,São Paulo – SP,Só Estuda,Ensino Fundamental Completo,Console (video game),,,,,,,,,XBOX ONE,Loja física,"ARCADE, Aventura, Corrida, FPS/TPS, Mundo Aberto",Skyrim,R$1 a R$50
17/06/2019 22:49:46,Frequentemente,16,Homem,Minas Gerais – MG,Só Estuda,Ensino Médio Incompleto,Notebook,Não,,,,,,,,,,"Aventura, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência, Card Game","Não consigo decidir, mas tenho jogado muito Terraria.",Nada
17/06/2019 22:50:29,Frequentemente,21,Homem,Goiás – GO,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Não,,,,,,,,,,FPS/TPS,Point blank,R$1 a R$50
17/06/2019 22:50:35,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 8400,Nvidia,GTX 770,4 GB,Loja física,,,"Aventura, MOBA, Mundo Aberto, RPG/MMORPG",Sonic,R$1 a R$50
17/06/2019 22:50:49,Regularmente,18,Homem,Minas Gerais – MG,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,Intel core i9-9900k,Nvidia,GTX 1080,8 GB,Loja virtual,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror, Todo tipo eu curto",Monsters hunter,R$51 a R$100
17/06/2019 22:52:19,Frequentemente,20,Homem,São Paulo – SP,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,AMD,FX8300,Nvidia,1050 TI,4 GB,Loja virtual,,,"FPS/TPS, MOBA",League Of Legends,R$101 a R$150
17/06/2019 22:53:56,Regularmente,20,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,2 GB,Intel,Intel i3,AMD,Não tenho placa ,1 GB,Loja física,,,"Aventura, Luta, MOBA, RPG/MMORPG",League of legends,R$1 a R$50
17/06/2019 22:54:19,Frequentemente,19,Homem,Pernambuco – PE,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,4 GB,Intel,intel dual core ,Nvidia,nao tenho placa de video,2 GB,Loja física,,,"Aventura, FPS/TPS, RPG/MMORPG",todos,Nada
17/06/2019 22:55:22,Frequentemente,18,Homem,Minas Gerais – MG,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,Core i7 8700,Nvidia,GTX 1080 ti ,mais de 8 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência",The Elder Scrolls V: Skyrim,R$51 a R$100
17/06/2019 22:55:43,Frequentemente,20,Homem,Bahia – BA,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,4 GB,Intel,Intel i3 4160,Nvidia,Não sei,1 GB,Loja física,,,"Aventura, Corrida, Esporte, FPS/TPS, Mundo Aberto, RPG/MMORPG",Grand fantasia,R$51 a R$100
17/06/2019 22:57:46,Frequentemente,25,Homem,Rio de Janeiro – RJ,Não Estuda e Não Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,4 GB,AMD,fx 4300,Nvidia,GTX 1050 TI,4 GB,Loja física,,,"Corrida, Esporte, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Lol,Nada
17/06/2019 22:58:38,Regularmente,20,Mulher,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,Sobrevivência,Resident evil,Nada
17/06/2019 23:08:37,Raramente,18,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I54440,Nvidia,Gtx970,4 GB,Loja física,,,"Corrida, FPS/TPS, Mundo Aberto, Simulação, Sobrevivência",Battlefield,Nada
17/06/2019 23:12:00,Regularmente,20,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Outros (Celular),,,,,,,,,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Fps,Nada
17/06/2019 23:12:12,Raramente,40,Mulher,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,Playstation 3,Loja física,"Aventura, Sobrevivência, Terror",Mário,Nada
17/06/2019 23:12:59,Frequentemente,16,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Incompleto,Desktop (PC de mesa),Sim,6 GB,AMD,AMD FX 6300 Six Core Processor,Nvidia,Nvidia GeForce GTX 750 TI,2 GB,Loja física,,,"ARCADE, Aventura, Corrida, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror",Destiny e Life Is Strange,Nada
17/06/2019 23:13:21,Frequentemente,23,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,Intel,I5 4460,Nvidia,GTX 1060,6 GB,Loja virtual,,,"FPS/TPS, MOBA",CS GO,Nada
17/06/2019 23:13:58,Raramente,39,Homem,Rio de Janeiro – RJ,Só Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,Playstation 3,Loja física,"Sobrevivência, Terror",Silent Hill,R$51 a R$100
17/06/2019 23:14:56,Frequentemente,22,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,16 GB,AMD,Ryzen 2400g,AMD,Integrada do Ryzen 2400g,2 GB,Loja física,,,"FPS/TPS, MOBA, RPG/MMORPG, RTS","Atualmente, League of Legends",R$1 a R$50
17/06/2019 23:16:23,Frequentemente,19,Mulher,Rio de Janeiro – RJ,Não Estuda e Não Trabalha,Ensino Superior Incompleto,Notebook,Não,,,,,,,,,,RPG/MMORPG,League of Legends,Nada
17/06/2019 23:16:50,Regularmente,24,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"ARCADE, Simulação",dream blast,Nada
17/06/2019 23:17:14,Frequentemente,18,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,Intel,i5 8400,Nvidia,Rtx 2060,6 GB,Loja virtual,,,"ARCADE, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG",League of legends,Nada
17/06/2019 23:18:05,Raramente,17,Mulher,São Paulo – SP,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,XBOX 360,Loja física,"ARCADE, Aventura, Corrida, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror","Não tenho um preferido,gosto de todos.",Nada
