Carimbo de data/hora,Com que frequência costuma jogar games?,Idade (anos):,Gênero:,Estado de residência?,Situação atual,Grau de escolaridade,Qual plataforma prefere usar para jogar?,"Você conhece os componentes do seu computador (Processador, Placa de Vídeo e Memória RAM) ?",Quantos Gigabytes de memória RAM?,Qual a marca do seu processador?,Qual o modelo do processador?,Qual a marca da sua placa de Vídeo?,Qual o modelo da sua placa de vídeo?,Quantos Gigabytes possui sua placa de video?,A maioria das suas peças foram compradas em:,Qual console você possui?,O seu console mais recente foi comprado em:,Qual seu estilo de jogo favorito?,Qual seu jogo preferido?,"Em média, quanto costuma gastar mensalmente com jogos?"
23/06/2019 00:12:51,Frequentemente,29,Homem,Mato Grosso do Sul – MS,Estuda e Trabalha,Ensino Superior Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I7 4800,Nvidia,1060 ti,2 GB,Loja física,,,"Aventura, MOBA, Mundo Aberto, RPG/MMORPG",Magic,R$1 a R$50
23/06/2019 00:32:24,Frequentemente,18,Homem,Paraná – PR,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,i3 6100,Nvidia,gtx 960,2 GB,Loja virtual,,,"Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG",sekiro,R$51 a R$100
23/06/2019 00:32:28,Raramente,19,Homem,Amazonas – AM,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,4 GB,Intel,i3 6006u,Nvidia,nd,1 GB,Loja física,,,"Aventura, FPS/TPS, Mundo Aberto, Sobrevivência",Uncharted,Nada
23/06/2019 00:42:42,Frequentemente,23,Mulher,São Paulo – SP,Só Trabalha,Ensino Superior Completo,Notebook,Sim,6 GB,Intel,i5 4200,AMD,Radeon 8850,2 GB,Loja virtual,,,RPG/MMORPG,World of Warcraft,R$1 a R$50
23/06/2019 01:01:23,Frequentemente,22,Homem,São Paulo – SP,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,FX 8300,Nvidia,GT 1030,2 GB,Loja virtual,,,"Corrida, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Rimworld,R$101 a R$150
23/06/2019 02:32:20,Frequentemente,21,Homem,Goiás – GO,Estuda e Trabalha,Ensino Superior Incompleto,Console (video game),,,,,,,,,XBOX ONE,Loja virtual,"Corrida, Mundo Aberto, RPG/MMORPG, Simulação",No momento F1 2018,R$151 a R$200
23/06/2019 04:07:55,Frequentemente,26,Homem,Rio de Janeiro – RJ,Não Estuda e Não Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,AMD,AMD ryzen 2400g,Nvidia,GTX 1650,4 GB,Loja virtual,,,"FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG",League of legends,R$51 a R$100
23/06/2019 04:39:29,Frequentemente,27,Homem,São Paulo – SP,Só Trabalha,Ensino Médio Completo,Notebook,Sim,8 GB,Intel,i5 8600k,Nvidia,GTX 1080ti,8 GB,Loja virtual,,,"FPS/TPS, MOBA, RPG/MMORPG, Sobrevivência",WOW ,R$151 a R$200
23/06/2019 05:52:46,Frequentemente,14,Homem,Rio Grande do Sul – RS,Só Estuda,Ensino Fundamental Completo,Outros (Celular),,,,,,,,,,,"Mundo Aberto, Sobrevivência",Free fire,Nada
23/06/2019 06:48:16,Frequentemente,30,Homem,São Paulo – SP,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,mais de 16 GB,AMD,8300,Nvidia,580,mais de 8 GB,Loja virtual,,,"ARCADE, Aventura, Corrida, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Sobrevivência",Pokémon ,R$51 a R$100
